,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__max_depth,param_clf__min_samples_split,param_clf__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,mean_train_score,std_train_score
28,4.361170709133148,0.6343024242883137,0.056492745876312256,0.0174892217413255,3,3,700,"{'clf__max_depth': 3, 'clf__min_samples_split': 3, 'clf__n_estimators': 700}",0.6514851485148515,0.3115030962657159,0.700522778192681,0.6201217329036878,0.570908188969234,0.152484067344992,54,0.7772962688933517,0.7283406754772394,0.7748725538562736,0.7972543892416885,0.7694409718671382,0.02526869764977612
29,6.320473551750183,0.7951254973169732,0.08137762546539307,0.016659147820600843,3,3,1000,"{'clf__max_depth': 3, 'clf__min_samples_split': 3, 'clf__n_estimators': 1000}",0.6554455445544555,0.3115030962657159,0.7035100821508589,0.6204797708557107,0.5727346234566852,0.1536756543537345,49,0.7780361483986894,0.728218306412139,0.775694787041605,0.7982816585730295,0.7700577251063656,0.02570291366019952
30,0.31547993421554565,0.030537868214026712,0.00959688425064087,0.0018679115146663019,3,5,50,"{'clf__max_depth': 3, 'clf__min_samples_split': 5, 'clf__n_estimators': 50}",0.6346534653465347,0.3054982173015575,0.6960418222554144,0.6211958467597566,0.5643473379158158,0.15208633153601586,63,0.7790931191206003,0.7287077826725403,0.7661568820917612,0.7897833395592081,0.7659352808610276,0.023064010599938074
31,0.6062660217285156,0.06165463445290855,0.016030490398406982,0.004138082836247082,3,5,100,"{'clf__max_depth': 3, 'clf__min_samples_split': 5, 'clf__n_estimators': 100}",0.6334158415841584,0.3096265715894164,0.70201643017177,0.619405656999642,0.5661161250862468,0.15134795177635355,61,0.7784589366874538,0.7288301517376408,0.7733925341226772,0.7926783713111692,0.7683399984647352,0.023881506487973617
32,1.2334762811660767,0.165507028718809,0.022675514221191406,0.008988727898357548,3,5,200,"{'clf__max_depth': 3, 'clf__min_samples_split': 5, 'clf__n_estimators': 200}",0.6438118811881188,0.3124413586038656,0.7012696041822255,0.6183315431435732,0.5689635967794457,0.15111915669481354,55,0.7779304513264983,0.7295643661282428,0.7750370004933399,0.7976279417258125,0.7700399399184734,0.0249329134982216
33,3.1143879890441895,0.3671581771371886,0.04213583469390869,0.015536133114562787,3,5,500,"{'clf__max_depth': 3, 'clf__min_samples_split': 5, 'clf__n_estimators': 500}",0.6485148514851485,0.31169074873334585,0.70201643017177,0.6215538847117794,0.570943978775511,0.15245558998781678,53,0.777613360109925,0.7284630445423397,0.7758592336786713,0.7979081060889055,0.7699609361049604,0.025477778659423744
34,4.507395267486572,0.5359888034439358,0.058224260807037354,0.017899210511172856,3,5,700,"{'clf__max_depth': 3, 'clf__min_samples_split': 5, 'clf__n_estimators': 700}",0.6514851485148515,0.31169074873334585,0.700522778192681,0.6201217329036878,0.5709551020861415,0.1524042597623599,52,0.7772962688933517,0.7284630445423397,0.7748725538562736,0.7972543892416885,0.7694715641334133,0.025218944984946926
35,6.327112197875977,0.7287523015369651,0.087982177734375,0.036349905572424325,3,5,1000,"{'clf__max_depth': 3, 'clf__min_samples_split': 5, 'clf__n_estimators': 1000}",0.6554455445544555,0.3115030962657159,0.7035100821508589,0.6204797708557107,0.5727346234566852,0.1536756543537345,49,0.7780361483986894,0.7280959373470387,0.775694787041605,0.7982816585730295,0.7700271328400907,0.025752718372220734
36,0.014561772346496582,0.0014528408990270752,0.0,0.0,5,1,50,"{'clf__max_depth': 5, 'clf__min_samples_split': 1, 'clf__n_estimators': 50}",,,,,,,73,,,,,,
37,0.013266265392303467,0.001747964250717956,0.0,0.0,5,1,100,"{'clf__max_depth': 5, 'clf__min_samples_split': 1, 'clf__n_estimators': 100}",,,,,,,73,,,,,,
38,0.013822495937347412,0.0013616895381755119,0.0,0.0,5,1,200,"{'clf__max_depth': 5, 'clf__min_samples_split': 1, 'clf__n_estimators': 200}",,,,,,,73,,,,,,
39,0.014126002788543701,0.004299714023321052,0.0,0.0,5,1,500,"{'clf__max_depth': 5, 'clf__min_samples_split': 1, 'clf__n_estimators': 500}",,,,,,,73,,,,,,
40,0.010949432849884033,0.0011516268483580086,0.0,0.0,5,1,700,"{'clf__max_depth': 5, 'clf__min_samples_split': 1, 'clf__n_estimators': 700}",,,,,,,73,,,,,,
41,0.013995051383972168,0.0036444776983402915,0.0,0.0,5,1,1000,"{'clf__max_depth': 5, 'clf__min_samples_split': 1, 'clf__n_estimators': 1000}",,,,,,,73,,,,,,
42,0.46991097927093506,0.03958737742784073,0.010583221912384033,0.0033197058114141503,5,3,50,"{'clf__max_depth': 5, 'clf__min_samples_split': 3, 'clf__n_estimators': 50}",0.6774752475247525,0.6470257083880653,0.7206870799103808,0.6348012889366272,0.6699973311899565,0.033135429311012696,37,0.7949476799492654,0.759667156142927,0.7885216247327742,0.8123832648487113,0.7888799314184194,0.018991701329438972
43,0.9228171110153198,0.11485681412311134,0.014889001846313477,0.0030169419500261276,5,3,100,"{'clf__max_depth': 5, 'clf__min_samples_split': 3, 'clf__n_estimators': 100}",0.6816831683168317,0.610996434603115,0.7162061239731142,0.6340852130325815,0.6607427349814107,0.040926785680346814,40,0.7951590740936476,0.7611355849241311,0.7898371978293044,0.8129435935748973,0.7897688626054952,0.018614455376615845
44,1.8628783226013184,0.23018930956912828,0.027726709842681885,0.010787119862771895,5,3,200,"{'clf__max_depth': 5, 'clf__min_samples_split': 3, 'clf__n_estimators': 200}",0.6861386138613862,0.6192531431788328,0.7117251680358476,0.6283566058002148,0.6613683827190704,0.038771255445096235,39,0.79346792093859,0.7604013705335291,0.7890971879625062,0.8129435935748973,0.7889775182523806,0.01878261844058228
45,4.932978570461273,0.6669735607959694,0.06069296598434448,0.02850765769557657,5,3,500,"{'clf__max_depth': 5, 'clf__min_samples_split': 3, 'clf__n_estimators': 500}",0.6792079207920793,0.6143741790204541,0.7079910380881255,0.6312209094163982,0.6581985118292643,0.03731304769879507,41,0.7941021033717366,0.7605237395986295,0.7887682946883736,0.8116361598804632,0.7887575743848007,0.018365342401057055
46,6.979669570922852,0.7417603288105636,0.07661539316177368,0.022747946943667996,5,3,700,"{'clf__max_depth': 5, 'clf__min_samples_split': 3, 'clf__n_estimators': 700}",0.6816831683168317,0.5944830174516795,0.7117251680358476,0.6287146437522377,0.6541514993891491,0.04549747651463366,43,0.7937850121551633,0.7605237395986295,0.7876171682289097,0.8119163242435562,0.7884605610565646,0.018437054474751934
47,9.517947137355804,0.9915679940645641,0.11539781093597412,0.04817375731820616,5,3,1000,"{'clf__max_depth': 5, 'clf__min_samples_split': 3, 'clf__n_estimators': 1000}",0.6787128712871288,0.5897917057609308,0.7087378640776699,0.6301467955603294,0.6518473091715148,0.04549753804042339,45,0.7937850121551633,0.7608908467939305,0.7880282848215754,0.8121964886066493,0.7887251580943295,0.018383008438917776
48,0.4740312695503235,0.04613593614680704,0.009518742561340332,0.0028108144474012385,5,5,50,"{'clf__max_depth': 5, 'clf__min_samples_split': 5, 'clf__n_estimators': 50}",0.6797029702970298,0.6151247888909739,0.719193427931292,0.6365914786967418,0.6626531664540094,0.040080092382430745,38,0.7949476799492654,0.7599118942731278,0.7875349449103766,0.8121964886066493,0.7886477519348547,0.018849535450860835
49,0.9615747928619385,0.13609762021259272,0.01810675859451294,0.005985453739236377,5,5,100,"{'clf__max_depth': 5, 'clf__min_samples_split': 5, 'clf__n_estimators': 100}",0.6784653465346535,0.581534997185213,0.7124719940253921,0.6337271750805585,0.6515498782064543,0.04913165716296052,46,0.7952647711658387,0.7602790014684288,0.7887682946883736,0.8123832648487113,0.7891738330428382,0.01878066162998607
50,1.8485485315322876,0.20136591712765506,0.02342754602432251,0.009051784541540646,5,5,200,"{'clf__max_depth': 5, 'clf__min_samples_split': 5, 'clf__n_estimators': 200}",0.6804455445544555,0.5837868267967724,0.7117251680358476,0.6365914786967418,0.6531372545209543,0.04811842380454318,44,0.7931508297220167,0.7602790014684288,0.7876171682289097,0.8130369816959283,0.7885209952788208,0.018847387582219297
51,4.711071252822876,0.5026089403535147,0.06415516138076782,0.011391265847455888,5,5,500,"{'clf__max_depth': 5, 'clf__min_samples_split': 5, 'clf__n_estimators': 500}",0.6787128712871288,0.59260649277538,0.7102315160567588,0.6380236305048335,0.6548936276560253,0.044141596695551295,42,0.7937850121551633,0.7612579539892316,0.789014964643973,0.8120097123645872,0.7890169107882388,0.018179407315223613
52,6.615079581737518,0.7876793997916505,0.08003616333007812,0.03630525232040889,5,5,700,"{'clf__max_depth': 5, 'clf__min_samples_split': 5, 'clf__n_estimators': 700}",0.6804455445544555,0.5348095327453556,0.7102315160567588,0.6348012889366272,0.6400719705732993,0.06644612140835307,48,0.79346792093859,0.7612579539892316,0.7878638381845091,0.8121031004856182,0.7886732033994872,0.01819478198566973
53,9.789243638515472,1.282072654483036,0.11892819404602051,0.03348698772012467,5,5,1000,"{'clf__max_depth': 5, 'clf__min_samples_split': 5, 'clf__n_estimators': 1000}",0.6797029702970298,0.5762807280915744,0.7087378640776699,0.6348012889366272,0.6498807128507254,0.04999469489824248,47,0.7935736180107811,0.7613803230543319,0.7879460615030422,0.8121031004856182,0.7887507757634433,0.018154752296679805
54,0.012773394584655762,0.001787414614518886,0.0,0.0,7,1,50,"{'clf__max_depth': 7, 'clf__min_samples_split': 1, 'clf__n_estimators': 50}",,,,,,,73,,,,,,
55,0.012010395526885986,0.0006795513892349883,0.0,0.0,7,1,100,"{'clf__max_depth': 7, 'clf__min_samples_split': 1, 'clf__n_estimators': 100}",,,,,,,73,,,,,,
56,0.014362871646881104,0.0006790053009586456,0.0,0.0,7,1,200,"{'clf__max_depth': 7, 'clf__min_samples_split': 1, 'clf__n_estimators': 200}",,,,,,,73,,,,,,
57,0.012439489364624023,0.002907292508868737,0.0,0.0,7,1,500,"{'clf__max_depth': 7, 'clf__min_samples_split': 1, 'clf__n_estimators': 500}",,,,,,,73,,,,,,
